item_cbs_code,season_months
254,12
328,7.16
677,12
2511,7.92
2513,7.27
2514,5.63
2515,9.96
2516,4.66
2517,4.98
2518,5.31
2520,4.66
2531,5.81
2532,8
2533,4.66
2534,4.66
2535,4.66
2536,12
2537,5.45
2546,5.2
2547,5.2
2549,5.2
2551,12
2552,5.08
2555,5.92
2557,5.78
2558,5.05
2560,12
2561,4.66
2563,12
2570,6.86
2601,4.66
2602,4.66
2605,4.95
2611,12
2612,12
2613,12
2614,12
2615,12
2616,12
2617,12
2618,12
2619,12
2620,12
2625,11.69
2630,12
2633,12
2635,12
2640,12
2641,12
2642,12
2645,8.33
2662,4.66
2663,4.66
2664,6.5
2665,4.66
2666,4.66
2667,4.66
2671,4.66
2672,12
2807,4.94
