area_code,item_cbs_code,physical_ha,harvested_ha
1,328,0.3,0.3
1,677,0.2,0.2
1,2511,59476.5,59476.5
1,2513,45395.7,45395.7
1,2514,1274.8,1274.8
1,2515,6762.4,145.8
1,2516,51173.7,3201.6
1,2517,0.6,0.6
1,2518,0.1,0.1
1,2520,72915.9,4434.1
1,2531,20834.9,20840.5
1,2536,1.3,1.3
1,2537,3540.1,3540.1
1,2546,1244.9,1245.6
1,2547,106.4,106.4
1,2549,590.6,602.4
1,2551,4377.4,1767
1,2552,4.1,4.1
1,2555,0.8,0.8
1,2557,37.9,37.9
1,2558,0.4,0.4
1,2561,8.1,8.1
1,2563,77.1,77.1
1,2570,135.5,135.5
1,2601,13654.5,4696.7
1,2602,4128.9,1427
1,2605,61336.7,27059.8
1,2611,59,59
1,2612,4,4
1,2613,0.4,0.4
1,2614,1.2,1.2
1,2615,0.2,0.2
1,2617,23407.3,9848.8
1,2619,7.3,7.3
1,2620,10824.8,10824.8
1,2625,60644.6,25356.5
1,2635,86.6,86.6
1,2645,20.4,20.4
1,2671,817.4,281.6
2,328,65425,55179.3
2,2511,5875888.2,2625567.5
2,2513,90701.3,90825.6
2,2514,155268.3,140295
2,2515,1.9,1.9
2,2516,1.5,1.5
2,2517,4531,1579.6
2,2518,3.2,3.2
2,2520,2.4,2.4
2,2531,80267,50059.1
2,2533,1.1,1.1
2,2534,3.7,3.7
2,2535,1.7,1.7
2,2536,1637.7,1563.9
2,2537,469.8,375.1
2,2546,25643,39.4
2,2547,66995.7,2776.5
2,2549,101030.2,57115.9
2,2551,12619.6,7471
2,2552,16.7,16.7
2,2555,0.2,0.2
2,2557,772.9,240.5
2,2558,113.9,113.9
2,2561,119792.8,21926.7
2,2563,2134.1,2134.1
2,2570,8405.8,8405.8
2,2601,84.8,84.8
2,2602,12097,7563.8
2,2605,236499.7,191794.3
2,2611,317.9,294.1
2,2612,6.9,6.9
2,2613,0.2,0.2
2,2614,62.2,36.5
2,2615,6.2,6.3
2,2617,12503.6,8699.4
2,2619,28.1,28.1
2,2620,43687.9,28279.1
2,2625,22410.5,14325.6
2,2635,2.9,2.9
2,2640,0.1,0.1
2,2645,9991.3,2196.6
2,2662,0.9,0.9
2,2671,0.4,0.4
2,2807,153600.9,147461.7
3,328,732.1,732.1
3,677,3380.7,2068.8
3,2511,91986.8,54855.2
3,2513,3626.1,3626.1
3,2514,61989.5,56395.6
3,2515,5294.8,1278.4
3,2516,41165.4,13244.3
3,2520,0.2,0.2
3,2531,19626.1,9640.6
